pump_id, pressure, temperature, frequency, current
pump-253 , 102.879 , 155.258,43.304,53.415
pump-253 , 104.791 , 143.839,45.381,33.57
pump-494 , 101.673 , 151.552,47.441,42.996
pump-498 , 104.672 , 142.518,42.318,76.944
pump-498 , 103.3 , 134.921,43.017,33.088
pump-663 , 101.258 , 152.775,42.83,56.108
pump-494 , 103.906 , 155.682,44.951,42.228
pump-663 , 102.748 , 139.905,41.035,37.038
pump-494 , 105.806 , 151.224,40.929,27.974
pump-498 , 102.245 , 150.226,43.437,32.095
pump-419 , 107.131 , 144.534,49.354,32.544
pump-663 , 99.262 , 148.39,49.94,72.181
pump-663 , 103.703 , 146.883,47.831,24.152
pump-498 , 99.886 , 144.892,48.79,29.181
pump-663 , 102.208 , 140.009,51.879,53.156
pump-419 , 103.796 , 151.582,42.631,53.512
pump-498 , 103.509 , 146.577,44.574,23.845
pump-663 , 108.485 , 140.626,38.242,32.493
pump-663 , 103.128 , 154.275,48.057,44.419
pump-663 , 102.581 , 141.859,46.817,35.526
pump-498 , 102.994 , 149.821,45.776,17.2
pump-253 , 105.564 , 154.28,38.365,29.522
pump-253 , 101.705 , 143.68,47.002,-6.346
pump-498 , 103.903 , 151.112,50.55,28.477
pump-494 , 104.273 , 149.267,48.464,45.049
pump-419 , 104.696 , 148.647,39.917,35.606
pump-253 , 103.515 , 150.466,46.0,36.453
pump-663 , 102.422 , 144.441,45.178,28.569
pump-419 , 103.601 , 146.387,44.376,34.202
pump-419 , 101.951 , 149.768,45.009,64.215
pump-253 , 101.685 , 146.851,46.073,36.852
pump-498 , 106.619 , 133.976,44.982,59.233
pump-494 , 104.112 , 155.529,43.815,8.213
pump-494 , 105.061 , 149.921,46.582,58.753
pump-663 , 103.659 , 143.423,41.34,54.441
pump-253 , 105.487 , 141.031,47.832,30.496
pump-494 , 101.928 , 141.011,43.092,41.677
pump-253 , 104.072 , 150.114,43.134,69.753
pump-663 , 104.254 , 136.383,41.406,25.869
pump-663 , 99.842 , 143.474,44.718,50.397
pump-419 , 102.788 , 147.674,35.202,13.121
pump-494 , 102.372 , 146.386,48.623,49.055
pump-494 , 101.671 , 147.093,44.673,46.418
pump-253 , 104.889 , 138.689,44.806,9.687
pump-494 , 104.243 , 135.658,42.511,13.431
pump-253 , 100.443 , 154.595,44.12,14.44
pump-419 , 98.754 , 131.107,46.576,1.636
pump-498 , 105.118 , 144.213,46.52,41.677
pump-419 , 107.121 , 154.076,46.626,47.556
pump-663 , 101.903 , 139.954,41.326,84.325
pump-494 , 101.317 , 141.546,46.418,55.95
pump-419 , 105.202 , 136.381,39.686,53.831
pump-663 , 104.306 , 143.501,48.692,45.387
pump-253 , 106.458 , 145.815,43.281,48.843
pump-498 , 102.718 , 150.59,42.253,8.531
pump-253 , 102.567 , 132.229,35.032,42.13
pump-253 , 104.82 , 141.809,45.917,22.268
pump-494 , 101.81 , 137.135,36.84,17.851
pump-663 , 98.464 , 145.543,39.681,33.676
pump-494 , 102.83 , 155.319,52.182,28.755
pump-419 , 103.338 , 141.169,49.234,35.052
pump-253 , 101.514 , 141.861,43.558,82.698
pump-663 , 101.391 , 139.451,48.313,78.628
pump-419 , 102.197 , 150.3,46.459,66.842
pump-419 , 105.054 , 146.619,44.832,35.386
pump-253 , 105.342 , 145.542,48.565,65.693
pump-498 , 104.793 , 145.426,41.817,50.395
pump-663 , 103.621 , 143.279,47.237,40.852
pump-663 , 100.489 , 157.863,41.61,32.842
pump-663 , 105.678 , 151.233,44.726,23.348
pump-253 , 104.142 , 149.961,42.489,29.727
pump-498 , 102.424 , 143.239,51.435,37.733
pump-663 , 104.235 , 153.925,46.554,52.688
pump-419 , 100.121 , 141.737,48.863,8.987
pump-494 , 107.712 , 150.816,48.208,65.792
pump-253 , 103.493 , 129.479,45.643,32.512
pump-253 , 101.848 , 134.175,46.106,68.726
pump-498 , 102.881 , 154.377,45.73,34.583
pump-498 , 103.811 , 152.317,44.105,1.958
pump-419 , 102.132 , 144.298,50.546,81.608
pump-498 , 101.936 , 128.123,44.522,13.75
pump-498 , 102.988 , 137.727,45.446,9.878
pump-663 , 100.602 , 143.904,46.009,49.572
pump-253 , 103.003 , 149.351,43.786,72.42
pump-494 , 101.223 , 149.917,44.944,25.368
pump-494 , 104.863 , 147.345,44.35,30.843
pump-494 , 105.218 , 160.794,42.817,20.693
pump-494 , 101.473 , 139.327,49.826,56.149
pump-419 , 105.22 , 146.595,39.395,34.08
pump-663 , 104.757 , 149.197,45.58,14.132
pump-663 , 103.502 , 139.929,44.67,2.526
pump-494 , 103.686 , 141.487,37.467,24.65
pump-419 , 106.744 , 152.145,42.582,69.889
pump-663 , 110.15 , 144.598,46.248,32.408
pump-253 , 103.712 , 147.609,38.11,4.293
pump-419 , 102.775 , 147.179,39.632,54.536
pump-419 , 99.771 , 125.874,43.483,45.453
pump-494 , 103.888 , 142.564,37.608,20.811
pump-663 , 103.11 , 147.599,42.478,30.331
pump-253 , 101.077 , 150.899,44.488,29.601
pump-494 , 107.377 , 143.244,46.639,68.973
pump-498 , 104.949 , 135.088,48.593,52.532
pump-494 , 105.555 , 147.822,40.551,27.566
pump-253 , 106.866 , 145.43,45.622,58.039
pump-419 , 102.666 , 150.123,47.328,37.207
pump-253 , 103.757 , 144.324,48.445,52.567
pump-419 , 104.356 , 145.772,42.911,37.041
pump-494 , 102.348 , 139.791,46.076,22.963
pump-498 , 102.103 , 151.939,42.257,25.352
pump-494 , 106.462 , 136.634,44.575,40.705
pump-419 , 101.487 , 142.577,47.843,22.256
pump-663 , 103.968 , 139.631,43.116,51.835
pump-663 , 105.681 , 149.879,37.825,59.063
pump-419 , 105.452 , 148.615,41.616,40.777
pump-494 , 102.261 , 149.245,45.008,42.504
pump-419 , 105.123 , 147.283,42.763,43.839
pump-419 , 102.493 , 143.966,48.426,29.497
pump-663 , 103.895 , 138.109,49.1,57.752
pump-663 , 103.373 , 142.606,39.82,72.993
pump-663 , 106.822 , 149.88,45.661,20.189
pump-253 , 102.482 , 156.791,43.436,35.05
pump-663 , 104.028 , 143.91,40.426,45.01
pump-419 , 106.023 , 142.014,45.387,40.66
pump-498 , 104.79 , 146.768,40.102,33.349
pump-419 , 104.952 , 136.127,49.209,43.372
pump-494 , 102.825 , 147.495,38.599,25.222
pump-419 , 105.457 , 152.109,38.91,69.497
pump-419 , 101.967 , 158.915,49.47,-1.15
pump-498 , 103.26 , 154.831,46.693,42.706
pump-419 , 103.434 , 142.024,42.868,27.492
pump-663 , 104.359 , 146.394,41.055,57.823
pump-494 , 104.352 , 152.611,47.19,38.576
pump-498 , 105.084 , 153.358,44.617,23.921
pump-663 , 101.422 , 147.75,49.714,18.231
pump-253 , 105.214 , 150.9,50.257,45.757
pump-498 , 101.437 , 151.405,50.954,39.633
pump-494 , 102.066 , 146.212,43.189,19.773
pump-494 , 99.69 , 154.115,45.667,63.297
pump-663 , 100.582 , 155.612,49.056,8.756
pump-419 , 105.602 , 157.29,45.904,59.796
pump-494 , 101.251 , 143.023,46.468,15.684
pump-498 , 102.422 , 146.068,41.769,28.067
pump-253 , 102.375 , 131.519,48.497,31.69
pump-253 , 105.063 , 150.682,43.228,41.379
pump-663 , 106.413 , 135.398,49.783,13.689
pump-663 , 104.763 , 148.36,40.476,50.97
pump-498 , 99.444 , 136.4,42.831,43.385
pump-498 , 104.356 , 146.081,41.737,46.823
pump-498 , 105.258 , 147.194,41.167,32.278
pump-498 , 106.984 , 151.747,39.582,5.998
pump-253 , 104.583 , 149.613,48.642,25.132
pump-663 , 104.983 , 150.376,43.197,51.48
pump-498 , 101.268 , 135.284,42.819,21.285
pump-419 , 104.422 , 146.712,44.049,26.345
pump-498 , 104.756 , 151.806,41.739,42.351
pump-498 , 104.541 , 141.374,43.522,75.977
pump-253 , 107.258 , 137.234,45.104,49.754
pump-663 , 106.125 , 148.283,45.056,26.079
pump-419 , 102.161 , 134.839,48.276,21.814
pump-663 , 101.416 , 132.961,44.137,38.682
pump-494 , 103.573 , 140.178,43.275,58.219
pump-663 , 104.754 , 171.438,42.466,18.159
pump-419 , 105.787 , 151.355,44.215,-5.153
pump-498 , 104.534 , 149.095,43.42,39.381
pump-494 , 103.573 , 149.122,45.194,31.112
pump-498 , 102.476 , 144.571,43.76,8.834
pump-494 , 101.044 , 141.659,47.15,14.54
pump-419 , 100.773 , 140.341,43.321,-0.038
pump-419 , 107.199 , 152.741,41.54,37.79
pump-253 , 105.087 , 136.742,43.69,23.995
pump-663 , 105.603 , 151.751,47.211,17.752
pump-253 , 104.49 , 136.902,43.717,38.933
pump-663 , 102.237 , 129.561,43.997,21.54
pump-663 , 100.622 , 149.32,44.507,18.587
pump-494 , 100.135 , 136.97,43.637,56.079
pump-498 , 108.632 , 150.08,41.341,-14.697
pump-663 , 104.688 , 152.873,41.269,40.849
pump-494 , 101.188 , 138.617,42.459,62.062
pump-419 , 103.752 , 140.256,44.664,56.278
pump-663 , 103.311 , 148.677,40.01,15.609
pump-494 , 100.882 , 148.083,43.758,13.996
pump-253 , 106.648 , 135.087,47.388,49.726
pump-419 , 107.264 , 150.604,38.531,14.757
pump-253 , 104.238 , 148.502,41.742,53.656
pump-498 , 102.323 , 143.069,39.641,30.573
pump-663 , 101.96 , 141.1,44.184,14.5
pump-498 , 103.22 , 150.219,37.808,34.624
pump-494 , 107.167 , 143.618,46.921,22.157
pump-253 , 107.545 , 158.957,42.966,48.201
pump-253 , 103.977 , 138.569,42.267,22.106
pump-663 , 101.758 , 143.373,43.206,16.012
pump-419 , 104.372 , 151.689,45.49,50.548
pump-663 , 101.904 , 145.372,43.239,71.899
pump-494 , 103.061 , 162.369,44.763,30.763
pump-498 , 106.492 , 150.585,48.129,22.272
pump-494 , 102.297 , 135.057,49.52,39.902
pump-253 , 99.006 , 143.805,38.489,58.906
pump-663 , 104.445 , 135.983,38.046,3.401
pump-663 , 102.635 , 158.209,44.022,39.005
pump-419 , 101.635 , 154.568,48.208,24.087
pump-663 , 103.343 , 146.587,43.925,52.832
pump-663 , 108.739 , 150.077,43.723,38.742
pump-253 , 105.36 , 132.101,40.257,50.978
pump-419 , 104.837 , 151.92,44.883,42.028
pump-419 , 102.252 , 141.89,39.436,50.131
pump-494 , 104.085 , 150.25,42.963,49.784
pump-663 , 104.59 , 147.134,48.556,68.673
pump-494 , 101.915 , 145.016,45.907,39.284
pump-494 , 100.583 , 146.071,44.076,73.397
pump-419 , 106.582 , 148.628,46.479,24.355
pump-253 , 101.452 , 149.389,46.243,28.327
pump-494 , 103.911 , 142.754,48.595,33.985
pump-663 , 102.37 , 166.669,45.585,-6.319
pump-498 , 103.127 , 142.542,43.694,27.879
pump-253 , 100.759 , 148.919,46.29,26.01
pump-663 , 102.21 , 143.594,43.919,69.337
pump-253 , 107.096 , 145.618,45.449,17.421
pump-498 , 104.338 , 142.715,37.862,63.975
pump-419 , 103.329 , 150.426,52.261,27.419
pump-494 , 105.608 , 146.932,35.549,20.983
pump-663 , 106.801 , 132.601,45.259,33.845
pump-253 , 100.421 , 137.382,41.037,47.727
pump-419 , 105.658 , 139.375,46.568,25.8
pump-419 , 101.355 , 152.878,48.121,62.701
pump-498 , 102.529 , 141.687,47.518,21.371
pump-419 , 103.423 , 152.146,38.945,15.718
pump-419 , 106.085 , 140.779,46.822,25.555
pump-498 , 108.092 , 142.078,41.67,58.527
pump-663 , 102.993 , 144.474,38.158,77.379
pump-419 , 102.899 , 144.485,50.402,50.784
pump-253 , 106.565 , 147.497,37.915,15.249
pump-663 , 103.508 , 145.946,46.632,6.048
pump-253 , 106.643 , 158.097,39.375,17.455
pump-498 , 104.094 , 150.883,36.984,47.664
pump-253 , 104.554 , 157.199,51.247,37.641
pump-494 , 105.92 , 151.479,38.922,67.101
pump-253 , 106.569 , 132.706,45.145,47.162
pump-494 , 106.352 , 147.48,46.55,23.025
pump-663 , 100.255 , 150.036,41.517,5.59
pump-419 , 107.059 , 150.274,42.35,30.168
pump-419 , 105.797 , 140.539,36.221,33.425
pump-498 , 104.735 , 135.825,49.626,23.427
pump-498 , 102.282 , 154.889,47.504,32.325
pump-498 , 104.893 , 140.447,37.433,44.746
pump-494 , 106.536 , 142.706,44.732,2.424
pump-663 , 106.262 , 148.797,47.599,32.961
pump-419 , 104.556 , 139.963,42.427,45.936
pump-419 , 101.435 , 145.499,46.032,65.644
pump-494 , 101.424 , 141.929,46.347,49.689
pump-419 , 101.815 , 138.336,42.683,86.427
pump-253 , 103.713 , 130.447,44.581,61.949
pump-498 , 101.497 , 146.181,52.605,40.185
pump-419 , 102.241 , 150.709,43.205,23.932
pump-419 , 102.367 , 153.247,44.347,57.64
pump-498 , 101.144 , 139.698,43.363,38.209
pump-663 , 105.358 , 151.482,46.056,48.245
pump-663 , 98.986 , 144.753,41.49,51.503
pump-494 , 108.065 , 152.621,43.942,43.484
pump-498 , 106.243 , 148.233,41.991,75.433
pump-498 , 101.695 , 135.45,43.178,38.271
pump-663 , 106.013 , 144.093,46.221,11.441
pump-419 , 105.198 , 150.735,41.499,15.988
pump-494 , 102.843 , 137.354,43.251,79.706
pump-253 , 104.021 , 140.635,39.177,-2.553
pump-419 , 100.657 , 140.141,51.451,75.547
pump-498 , 103.713 , 149.298,47.911,47.687
pump-419 , 106.685 , 148.052,40.886,5.183
pump-663 , 104.676 , 145.891,48.4,14.23
pump-498 , 106.022 , 152.559,37.619,17.82
pump-663 , 100.485 , 144.684,51.497,50.354
pump-494 , 103.811 , 153.003,45.681,27.502
pump-498 , 101.319 , 151.802,44.956,34.525
pump-253 , 102.331 , 149.064,44.988,0.808
pump-253 , 103.789 , 149.777,42.26,37.253
pump-498 , 101.662 , 147.017,46.094,19.78
pump-663 , 105.048 , 147.584,49.007,46.721
pump-494 , 106.731 , 143.038,44.69,44.825
pump-663 , 103.054 , 152.474,45.519,41.361
pump-253 , 101.882 , 137.552,45.619,24.476
pump-419 , 101.583 , 139.381,45.342,49.912
pump-663 , 106.507 , 135.965,49.25,34.915
pump-253 , 101.847 , 154.104,46.995,50.317
pump-419 , 103.567 , 146.463,48.22,38.832
pump-494 , 106.681 , 151.758,43.377,13.585
pump-498 , 98.191 , 144.282,45.677,39.65
pump-494 , 101.0 , 160.546,43.398,51.668
pump-498 , 103.703 , 132.147,48.586,30.477
pump-253 , 104.018 , 143.57,49.476,31.849
pump-498 , 104.169 , 143.344,49.558,63.487
pump-663 , 105.933 , 157.398,42.166,41.749
pump-663 , 104.718 , 151.955,43.352,32.338
pump-494 , 105.612 , 145.705,43.335,62.453
pump-663 , 100.882 , 151.75,37.477,45.553
pump-253 , 102.395 , 141.831,41.754,59.396
pump-419 , 103.875 , 153.884,46.707,41.376
pump-253 , 102.384 , 140.522,47.992,12.36
pump-498 , 102.037 , 132.935,44.637,61.395
pump-494 , 108.054 , 155.267,47.025,3.741
pump-253 , 104.514 , 139.466,48.334,30.581
pump-253 , 105.423 , 140.747,40.862,12.75
pump-494 , 103.663 , 144.493,45.705,31.837
pump-253 , 102.463 , 149.053,48.891,42.454
pump-253 , 104.6 , 143.093,50.2,79.695
pump-419 , 103.555 , 143.735,51.413,59.719
pump-419 , 103.108 , 138.972,41.887,38.303
pump-663 , 102.72 , 155.715,42.666,-3.303
pump-498 , 104.642 , 140.903,41.879,32.373
pump-253 , 102.217 , 155.281,49.071,39.847
pump-494 , 104.146 , 153.201,44.076,75.216
pump-253 , 103.342 , 144.685,49.384,19.644
pump-498 , 101.627 , 132.843,46.002,25.861
pump-663 , 105.019 , 153.812,35.571,25.052
pump-494 , 101.684 , 160.334,43.186,47.942
pump-663 , 105.074 , 143.098,37.202,57.142
pump-253 , 103.236 , 140.812,42.02,17.484
pump-494 , 101.512 , 152.425,48.182,40.671
pump-494 , 103.012 , 139.753,43.656,56.684
pump-419 , 104.138 , 140.582,47.934,24.461
pump-498 , 102.767 , 140.924,45.126,27.509
pump-253 , 107.564 , 142.319,49.993,65.256
pump-498 , 103.75 , 166.511,46.821,40.365
pump-498 , 106.415 , 139.219,42.96,17.923
pump-498 , 105.639 , 146.276,39.97,21.792
pump-498 , 103.717 , 157.728,43.519,53.046
pump-419 , 106.485 , 148.972,46.572,34.375
pump-498 , 102.611 , 152.358,46.906,-2.733
pump-663 , 104.369 , 146.531,41.779,39.289
pump-663 , 103.012 , 135.884,45.218,26.012
pump-253 , 101.596 , 141.983,45.713,42.382
pump-498 , 103.542 , 146.32,53.159,31.654
pump-498 , 103.773 , 146.135,44.087,45.518
pump-498 , 101.425 , 151.522,38.631,19.98
pump-663 , 105.723 , 147.995,43.424,40.238
pump-663 , 99.887 , 150.716,46.923,30.038
pump-494 , 104.42 , 141.616,43.484,36.532
pump-419 , 104.436 , 141.791,45.482,17.179
pump-419 , 102.804 , 143.423,43.612,61.692
pump-494 , 102.197 , 148.629,39.492,28.951
pump-419 , 101.079 , 150.661,50.467,68.38
pump-663 , 108.294 , 156.432,45.176,12.953
pump-498 , 101.94 , 139.735,54.401,47.807
pump-419 , 103.379 , 143.595,48.856,34.799
pump-494 , 102.576 , 132.467,43.483,73.4
pump-253 , 100.275 , 149.255,49.891,39.239
pump-663 , 105.323 , 148.613,39.531,25.32
pump-498 , 100.551 , 130.94,51.473,27.228
pump-419 , 105.13 , 152.086,42.656,63.791
pump-253 , 102.036 , 151.989,41.076,32.201
pump-498 , 106.964 , 140.404,47.822,32.578
pump-494 , 107.07 , 147.889,48.919,32.66
pump-419 , 105.185 , 150.486,40.857,50.246
pump-494 , 106.346 , 146.25,46.179,31.975
pump-253 , 103.857 , 156.508,44.523,46.626
pump-663 , 105.417 , 138.103,38.648,21.517
pump-494 , 104.97 , 139.062,44.356,56.801
pump-494 , 105.405 , 154.24,44.131,39.766
pump-498 , 101.093 , 152.244,44.598,35.447
pump-253 , 104.142 , 135.877,42.428,47.647
pump-498 , 106.564 , 142.577,44.853,71.77
pump-663 , 102.231 , 148.947,47.95,17.486
pump-253 , 101.541 , 147.879,40.429,54.192
pump-663 , 104.041 , 146.496,42.485,63.111
pump-494 , 103.169 , 139.391,48.042,46.533
pump-663 , 102.583 , 148.646,46.902,19.017
pump-498 , 103.837 , 155.238,42.72,31.409
pump-498 , 105.547 , 148.789,42.982,48.85
pump-494 , 105.964 , 157.32,38.602,40.739
pump-253 , 107.013 , 153.986,47.631,29.359
pump-498 , 105.446 , 150.114,42.139,36.554
pump-498 , 106.459 , 151.254,46.519,33.972
pump-494 , 104.017 , 147.137,41.675,24.253
pump-494 , 100.364 , 151.3,47.138,7.445
pump-663 , 103.603 , 148.561,45.541,32.547
pump-253 , 105.423 , 153.471,41.836,31.286
pump-253 , 104.701 , 142.574,43.788,62.921
pump-498 , 106.281 , 143.46,46.981,44.342
pump-419 , 103.925 , 140.995,49.507,11.398
pump-663 , 103.142 , 146.81,41.584,39.996
pump-663 , 105.529 , 158.101,45.987,54.949
pump-663 , 103.286 , 148.914,40.105,38.276
pump-494 , 103.965 , 131.891,44.512,54.633
pump-494 , 106.424 , 143.926,43.474,48.192
pump-663 , 105.376 , 144.865,43.284,29.149
pump-498 , 105.192 , 137.515,43.257,45.812
pump-498 , 101.89 , 149.662,44.313,32.704
pump-494 , 103.757 , 138.082,49.554,33.75
pump-498 , 102.629 , 155.585,42.402,48.86
pump-498 , 100.473 , 155.08,44.018,41.685
pump-419 , 104.592 , 150.077,47.117,45.379
pump-253 , 105.188 , 153.883,48.897,4.769
pump-419 , 98.942 , 155.37,40.883,23.899
pump-253 , 105.189 , 151.688,41.763,29.598
pump-663 , 108.6 , 141.461,46.128,71.625
pump-494 , 106.998 , 149.424,43.956,52.951
pump-663 , 104.294 , 149.696,45.492,14.85
pump-253 , 103.771 , 132.272,43.897,8.281
pump-419 , 104.933 , 146.214,48.949,33.158
pump-253 , 105.274 , 138.191,37.262,37.508
pump-663 , 102.584 , 144.757,47.264,22.087
pump-498 , 98.586 , 149.157,38.835,61.262
pump-663 , 102.897 , 148.908,46.984,53.402
pump-419 , 103.583 , 160.502,43.809,47.951
pump-498 , 104.093 , 141.644,50.867,54.406
pump-494 , 102.963 , 143.08,39.073,3.598
pump-494 , 107.819 , 147.886,45.191,18.613
pump-419 , 106.726 , 137.022,44.66,73.503
pump-663 , 100.534 , 148.469,44.575,21.422
pump-663 , 103.235 , 146.533,47.399,32.579
pump-253 , 104.986 , 143.956,39.704,24.585
pump-663 , 104.348 , 149.866,40.958,30.239
pump-494 , 100.547 , 144.685,43.265,-4.941
pump-498 , 102.2 , 144.594,41.325,49.615
pump-498 , 103.34 , 146.724,44.541,18.439
pump-663 , 103.917 , 146.124,44.243,41.724
pump-498 , 99.835 , 142.204,42.07,45.25
pump-253 , 102.828 , 140.267,50.069,26.76
pump-253 , 103.175 , 148.536,45.937,62.304
pump-663 , 103.28 , 139.161,42.496,32.531
pump-253 , 106.9 , 145.582,43.081,49.505
pump-498 , 102.651 , 136.652,44.367,49.84
