Pump Id, Oil Rate, Gas Rate, Water Rate
pump-253 ,104.553,9.27,1033.971
pump-663 ,104.553,62.959,489.565
pump-419 ,104.553,39.1,724.87
pump-253 ,104.553,12.883,289.693
pump-253 ,104.553,9.419,811.613
pump-498 ,104.553,65.909,267.714
pump-663 ,104.553,59.986,705.394
pump-498 ,104.553,3.538,635.501
pump-663 ,104.553,76.777,865.279
pump-253 ,104.553,46.582,464.562
pump-663 ,104.553,62.609,422.366
pump-663 ,104.553,38.607,683.17
pump-498 ,104.553,44.803,1018.492
pump-253 ,104.553,12.794,797.379
pump-494 ,104.553,53.278,568.727
pump-253 ,104.553,13.179,747.477
pump-419 ,104.553,42.076,403.358
pump-663 ,104.553,36.43,198.513
pump-494 ,104.553,23.82,444.659
pump-419 ,104.553,26.143,255.985
pump-419 ,104.553,59.236,217.635
pump-253 ,104.553,32.984,430.603
pump-663 ,104.553,28.762,467.576
pump-494 ,104.553,6.531,557.407
pump-494 ,104.553,26.972,422.936
pump-498 ,104.553,36.291,276.292
pump-498 ,104.553,4.54,741.791
pump-253 ,104.553,39.212,515.118
pump-419 ,104.553,19.183,425.559
pump-419 ,104.553,35.496,179.1
pump-419 ,104.553,63.672,418.429
pump-419 ,104.553,16.562,660.156
pump-663 ,104.553,53.098,568.925
pump-419 ,104.553,22.153,424.863
pump-253 ,104.553,2.652,964.051
pump-253 ,104.553,8.732,552.285
pump-419 ,104.553,85.013,577.914
pump-253 ,104.553,25.263,1157.083
pump-494 ,104.553,7.32,-103.921
pump-494 ,104.553,28.778,320.911
pump-253 ,104.553,81.14,135.251
pump-419 ,104.553,78.662,653.697
pump-419 ,104.553,27.793,929.282
pump-419 ,104.553,26.458,569.302
pump-253 ,104.553,47.355,1246.703
pump-253 ,104.553,45.265,681.775
pump-253 ,104.553,28.379,784.97
pump-498 ,104.553,33.446,431.603
pump-419 ,104.553,17.251,746.552
pump-494 ,104.553,13.832,715.83
pump-253 ,104.553,21.191,551.453
pump-663 ,104.553,36.167,448.16
pump-494 ,104.553,26.421,1049.902
pump-663 ,104.553,60.824,1348.425
pump-663 ,104.553,73.344,626.066
pump-663 ,104.553,14.591,571.832
pump-419 ,104.553,63.115,365.447
pump-663 ,104.553,37.488,244.302
pump-253 ,104.553,52.742,619.033
pump-663 ,104.553,48.835,420.487
pump-663 ,104.553,38.925,721.298
pump-494 ,104.553,41.084,456.384
pump-253 ,104.553,37.402,472.783
pump-253 ,104.553,31.329,827.278
pump-253 ,104.553,22.907,402.17
pump-419 ,104.553,47.171,641.045
pump-494 ,104.553,20.312,902.019
pump-498 ,104.553,19.974,417.45
pump-494 ,104.553,67.36,653.619
pump-498 ,104.553,42.079,123.616
pump-663 ,104.553,52.114,655.712
pump-253 ,104.553,73.734,284.403
pump-498 ,104.553,53.034,1149.644
pump-419 ,104.553,20.184,822.811
pump-419 ,104.553,47.116,433.05
pump-253 ,104.553,17.402,760.39
pump-494 ,104.553,36.178,1229.564
pump-494 ,104.553,20.365,774.963
pump-419 ,104.553,0.853,833.199
pump-253 ,104.553,59.094,559.89
pump-498 ,104.553,12.309,600.243
pump-253 ,104.553,32.662,936.218
pump-494 ,104.553,29.909,667.079
pump-253 ,104.553,21.491,1051.445
pump-663 ,104.553,63.449,525.648
pump-253 ,104.553,43.63,354.446
pump-498 ,104.553,39.427,792.694
pump-494 ,104.553,24.7,263.121
pump-253 ,104.553,28.516,590.429
pump-253 ,104.553,28.695,337.023
pump-663 ,104.553,16.14,785.614
pump-253 ,104.553,35.409,693.085
pump-663 ,104.553,54.636,777.981
pump-498 ,104.553,15.239,541.415
pump-253 ,104.553,55.803,502.258
pump-253 ,104.553,29.53,520.385
pump-253 ,104.553,13.311,806.862
pump-253 ,104.553,30.436,539.76
pump-498 ,104.553,74.541,495.13
pump-498 ,104.553,1.928,513.69
pump-498 ,104.553,8.499,856.15
pump-494 ,104.553,64.164,393.211
pump-494 ,104.553,42.188,629.448
pump-663 ,104.553,15.653,568.584
pump-494 ,104.553,61.208,793.687
pump-498 ,104.553,49.184,953.42
pump-494 ,104.553,44.498,618.586
pump-663 ,104.553,17.119,411.754
pump-498 ,104.553,46.631,497.132
pump-253 ,104.553,11.42,724.913
pump-494 ,104.553,17.637,494.123
pump-494 ,104.553,67.154,920.256
pump-663 ,104.553,11.272,545.897
pump-419 ,104.553,56.844,797.559
pump-494 ,104.553,34.591,606.464
pump-253 ,104.553,55.492,964.714
pump-663 ,104.553,30.342,111.394
pump-663 ,104.553,66.344,671.176
pump-419 ,104.553,23.833,416.4
pump-494 ,104.553,34.546,485.763
pump-253 ,104.553,31.031,135.395
pump-663 ,104.553,2.319,650.676
pump-253 ,104.553,16.779,485.67
pump-498 ,104.553,55.185,449.594
pump-253 ,104.553,43.443,714.813
pump-663 ,104.553,23.584,711.052
pump-494 ,104.553,15.777,539.218
pump-494 ,104.553,55.259,738.48
pump-253 ,104.553,46.559,848.378
pump-498 ,104.553,5.47,717.713
pump-494 ,104.553,72.099,1023.345
pump-494 ,104.553,27.195,499.993
pump-253 ,104.553,46.749,622.241
pump-494 ,104.553,48.245,361.759
pump-253 ,104.553,62.387,202.061
pump-498 ,104.553,12.289,555.429
pump-663 ,104.553,24.233,974.675
pump-494 ,104.553,2.548,1103.791
pump-494 ,104.553,85.64,406.662
pump-494 ,104.553,48.09,528.298
pump-663 ,104.553,76.6,420.336
pump-663 ,104.553,23.249,877.364
pump-498 ,104.553,47.406,110.798
pump-498 ,104.553,17.23,732.803
pump-494 ,104.553,32.555,1251.164
pump-494 ,104.553,0.503,338.774
pump-663 ,104.553,35.431,261.932
pump-498 ,104.553,10.019,522.413
pump-663 ,104.553,27.861,282.379
pump-253 ,104.553,28.395,212.302
pump-494 ,104.553,7.144,441.072
pump-253 ,104.553,67.472,254.505
pump-494 ,104.553,20.532,-16.802
pump-253 ,104.553,26.817,1021.186
pump-663 ,104.553,33.252,311.578
pump-663 ,104.553,42.994,597.782
pump-498 ,104.553,39.106,171.565
pump-663 ,104.553,28.827,1181.017
pump-494 ,104.553,1.667,572.674
pump-419 ,104.553,80.572,418.372
pump-253 ,104.553,43.826,482.544
pump-253 ,104.553,5.44,201.467
pump-253 ,104.553,50.239,500.46
pump-498 ,104.553,53.344,172.368
pump-498 ,104.553,23.664,28.437
pump-419 ,104.553,33.623,505.816
pump-494 ,104.553,43.276,386.87
pump-663 ,104.553,1.763,977.769
pump-663 ,104.553,32.737,408.173
pump-663 ,104.553,53.574,433.171
pump-494 ,104.553,26.311,688.108
pump-498 ,104.553,70.159,438.313
pump-498 ,104.553,51.46,488.797
pump-498 ,104.553,63.933,339.841
pump-419 ,104.553,72.144,745.916
pump-419 ,104.553,39.337,545.634
pump-498 ,104.553,55.832,564.738
pump-253 ,104.553,40.172,655.593
pump-498 ,104.553,52.128,387.429
pump-663 ,104.553,27.554,621.595
pump-419 ,104.553,0.414,1061.139
pump-253 ,104.553,32.61,267.593
pump-494 ,104.553,22.036,870.485
pump-253 ,104.553,68.144,650.959
pump-498 ,104.553,12.628,280.411
pump-494 ,104.553,21.216,444.307
pump-663 ,104.553,15.529,804.398
pump-253 ,104.553,14.21,720.462
pump-253 ,104.553,44.905,486.582
pump-494 ,104.553,45.367,867.371
pump-498 ,104.553,39.205,620.251
pump-419 ,104.553,6.881,470.82
pump-253 ,104.553,46.67,781.354
pump-663 ,104.553,11.323,893.798
pump-253 ,104.553,74.705,737.629
pump-498 ,104.553,74.309,524.034
pump-663 ,104.553,67.698,325.24
pump-498 ,104.553,6.259,266.171
pump-419 ,104.553,40.083,50.602
pump-494 ,104.553,31.533,350.797
pump-419 ,104.553,61.722,470.573
pump-494 ,104.553,70.097,733.158
pump-494 ,104.553,59.928,1111.725
pump-494 ,104.553,89.34,341.403
pump-253 ,104.553,10.983,314.355
pump-253 ,104.553,20.426,780.38
pump-498 ,104.553,4.393,182.11
pump-663 ,104.553,56.378,627.816
pump-494 ,104.553,34.5,338.607
pump-498 ,104.553,14.121,513.063
pump-498 ,104.553,76.319,80.242
pump-419 ,104.553,29.257,451.822
pump-419 ,104.553,111.555,526.719
pump-498 ,104.553,49.265,711.861
pump-494 ,104.553,57.073,638.672
pump-494 ,104.553,53.089,409.242
pump-663 ,104.553,38.755,172.104
pump-663 ,104.553,56.893,604.043
pump-419 ,104.553,55.836,364.763
pump-494 ,104.553,51.259,803.613
pump-498 ,104.553,44.979,620.18
pump-494 ,104.553,7.247,609.862
pump-253 ,104.553,51.279,143.579
pump-419 ,104.553,26.952,762.783
pump-494 ,104.553,24.345,289.689
pump-253 ,104.553,35.143,860.475
pump-419 ,104.553,24.82,749.302
pump-253 ,104.553,31.673,316.05
pump-253 ,104.553,28.947,986.4
pump-419 ,104.553,36.349,568.624
pump-494 ,104.553,21.126,333.069
pump-663 ,104.553,35.907,367.813
pump-419 ,104.553,86.577,737.232
pump-253 ,104.553,28.225,867.118
pump-663 ,104.553,14.005,597.22
pump-419 ,104.553,78.653,223.54
pump-494 ,104.553,68.257,597.214
pump-663 ,104.553,49.033,849.391
pump-419 ,104.553,12.61,977.474
pump-498 ,104.553,13.601,540.059
pump-253 ,104.553,29.69,604.662
pump-253 ,104.553,14.636,517.714
pump-663 ,104.553,45.056,796.919
pump-663 ,104.553,3.278,424.136
pump-253 ,104.553,33.009,446.494
pump-253 ,104.553,17.134,420.892
pump-494 ,104.553,16.105,836.835
pump-419 ,104.553,30.958,668.548
pump-663 ,104.553,45.575,280.042
pump-419 ,104.553,23.091,618.932
pump-663 ,104.553,49.432,614.154
pump-494 ,104.553,36.371,725.482
pump-419 ,104.553,5.622,243.151
pump-494 ,104.553,42.427,404.357
pump-663 ,104.553,57.169,829.326
pump-498 ,104.553,26.282,957.895
pump-498 ,104.553,54.482,508.597
pump-494 ,104.553,29.399,660.551
pump-253 ,104.553,55.822,889.335
pump-663 ,104.553,65.816,666.366
pump-494 ,104.553,45.643,422.84
pump-663 ,104.553,58.453,414.299
pump-494 ,104.553,11.849,858.72
pump-494 ,104.553,39.585,1053.459
pump-494 ,104.553,28.967,466.451
pump-663 ,104.553,38.492,589.362
pump-494 ,104.553,64.25,50.002
pump-494 ,104.553,48.142,765.705
pump-494 ,104.553,0.857,967.91
pump-494 ,104.553,46.045,428.414
pump-253 ,104.553,51.894,839.47
pump-663 ,104.553,30.156,598.373
pump-419 ,104.553,20.247,876.964
pump-419 ,104.553,29.288,210.399
pump-498 ,104.553,10.241,814.569
pump-253 ,104.553,13.928,494.263
pump-498 ,104.553,52.596,771.841
pump-253 ,104.553,41.889,971.161
pump-253 ,104.553,31.776,466.946
pump-253 ,104.553,59.194,277.123
pump-498 ,104.553,81.566,414.037
pump-419 ,104.553,34.446,1087.328
pump-498 ,104.553,32.481,713.662
pump-498 ,104.553,74.616,512.707
pump-419 ,104.553,45.986,212.577
pump-663 ,104.553,23.366,643.728
pump-663 ,104.553,34.111,419.543
pump-494 ,104.553,86.777,591.146
pump-419 ,104.553,54.401,277.008
pump-253 ,104.553,30.298,888.853
pump-494 ,104.553,36.12,412.167
pump-253 ,104.553,33.672,495.55
pump-419 ,104.553,34.283,1366.883
pump-253 ,104.553,56.365,536.63
pump-494 ,104.553,64.912,675.177
pump-419 ,104.553,16.017,349.171
pump-419 ,104.553,33.998,380.44
pump-663 ,104.553,8.916,975.605
pump-498 ,104.553,35.327,348.643
pump-663 ,104.553,52.906,31.77
pump-663 ,104.553,12.897,437.6
pump-419 ,104.553,56.043,-17.83
pump-498 ,104.553,46.466,707.901
pump-498 ,104.553,29.127,800.7
pump-253 ,104.553,44.172,237.721
pump-419 ,104.553,40.555,847.73
pump-494 ,104.553,8.493,799.209
pump-419 ,104.553,17.19,53.275
pump-494 ,104.553,77.359,854.799
pump-494 ,104.553,75.56,538.263
pump-253 ,104.553,20,532.054
pump-663 ,104.553,57.44,300.526
pump-498 ,104.553,45.958,216.686
pump-419 ,104.553,66.497,899.431
pump-494 ,104.553,44.98,290.854
pump-253 ,104.553,44.569,298.449
pump-494 ,104.553,59.046,527.997
pump-498 ,104.553,51.545,-150.471
pump-253 ,104.553,48.257,860.093
pump-498 ,104.553,78.172,246.685
pump-498 ,104.553,12.906,430.023
pump-498 ,104.553,41.244,439.782
pump-419 ,104.553,35.089,502.5
pump-663 ,104.553,9.854,324.397
pump-498 ,104.553,35.205,849.973
pump-498 ,104.553,27.892,421.949
pump-494 ,104.553,50.25,206.352
pump-253 ,104.553,56.004,361.098
pump-663 ,104.553,20.835,465.144
pump-663 ,104.553,35.884,-40.884
pump-253 ,104.553,8.086,593.749
pump-494 ,104.553,20.944,1116.288
pump-253 ,104.553,19.03,528.765
pump-253 ,104.553,4.284,352.011
pump-419 ,104.553,6.491,725.845
pump-494 ,104.553,52.535,310.696
pump-419 ,104.553,44.684,421.547
pump-419 ,104.553,1.009,337.885
pump-419 ,104.553,28.929,366.032
pump-494 ,104.553,35.053,495.56
pump-419 ,104.553,69.162,767.929
pump-253 ,104.553,51.047,393.469
pump-663 ,104.553,58.281,-3.348
pump-419 ,104.553,37.561,707.862
pump-498 ,104.553,19.551,242.872
pump-419 ,104.553,21.758,67.35
pump-419 ,104.553,67.086,589.582
pump-419 ,104.553,63.222,453.007
pump-498 ,104.553,42.364,625.698
pump-498 ,104.553,32.898,115.857
pump-253 ,104.553,52.837,267.008
pump-419 ,104.553,58.037,637.943
pump-498 ,104.553,20.014,417.63
pump-253 ,104.553,2.926,630.17
pump-498 ,104.553,30.595,507.61
pump-419 ,104.553,42.414,282.654
pump-419 ,104.553,78.255,487.265
pump-494 ,104.553,54.327,342.296
pump-494 ,104.553,70.199,689.075
pump-419 ,104.553,29.625,281.675
pump-663 ,104.553,60.045,337.002
pump-494 ,104.553,48.597,297.333
pump-253 ,104.553,23.482,593.266
pump-494 ,104.553,39.769,703.969
pump-253 ,104.553,43.555,661.337
pump-663 ,104.553,28.666,1017.515
pump-494 ,104.553,76.166,567.814
pump-419 ,104.553,16.076,663.635
pump-419 ,104.553,77.566,300.663
pump-498 ,104.553,29.103,530.675
pump-494 ,104.553,0.88,1213.458
pump-253 ,104.553,30.972,268.091
pump-663 ,104.553,64.817,691.137
pump-498 ,104.553,1.882,31.336
pump-419 ,104.553,16.69,441.586
pump-253 ,104.553,49.056,520.194
pump-498 ,104.553,9.878,1027.669
pump-498 ,104.553,58.559,831.614
pump-419 ,104.553,9.927,165.661
pump-419 ,104.553,18.736,408.981
pump-663 ,104.553,87.703,425.211
pump-663 ,104.553,2.288,485.529
pump-253 ,104.553,27.52,522.194
pump-498 ,104.553,26.07,374.706
pump-498 ,104.553,47.2,481.086
pump-253 ,104.553,37.489,621.761
pump-253 ,104.553,38.193,423.176
pump-494 ,104.553,79.622,677.476
pump-253 ,104.553,37.855,368.348
pump-494 ,104.553,56.48,986.432
pump-498 ,104.553,70.057,47.646
pump-253 ,104.553,45.761,701.56
pump-494 ,104.553,18.819,752.913
pump-663 ,104.553,51.391,131.495
pump-663 ,104.553,75.735,755.377
pump-663 ,104.553,77.105,526.272
pump-419 ,104.553,31.476,-44.653
pump-498 ,104.553,1.261,379.408
pump-419 ,104.553,20.363,941.334
pump-498 ,104.553,33.014,1089.608
pump-498 ,104.553,6.496,915.765
pump-494 ,104.553,25.532,87.489
pump-419 ,104.553,66.5,695.901
pump-494 ,104.553,11.76,692.555
pump-494 ,104.553,44.346,823.275
pump-498 ,104.553,39.659,466.11
pump-419 ,104.553,24.615,553.637
pump-494 ,104.553,61.694,85
pump-419 ,104.553,16.593,811.373
pump-494 ,104.553,38.7,883.264
pump-253 ,104.553,57.892,245.349
pump-419 ,104.553,38.321,498.01
pump-498 ,104.553,21.349,875.176
pump-498 ,104.553,11.714,240.777
pump-663 ,104.553,31.458,707.238
pump-663 ,104.553,38.934,657.478
pump-494 ,104.553,13.371,354.754
pump-419 ,104.553,65.403,1004.328
pump-494 ,104.553,76.858,709.989
pump-498 ,104.553,45.029,1102.239
pump-253 ,104.553,13.561,158.178
pump-419 ,104.553,38.996,778.359
pump-498 ,104.553,10.715,236.669
pump-419 ,104.553,37.94,-185.918
pump-498 ,104.553,26.865,234.876
pump-494 ,104.553,19.21,247.017
pump-498 ,104.553,50.615,530.681
pump-498 ,104.553,24.006,791.134
pump-253 ,104.553,20.996,896.469
pump-419 ,104.553,44.765,876.607
pump-498 ,104.553,43.602,352.732
pump-498 ,104.553,51.011,548.594
pump-663 ,104.553,46.078,849.822
pump-494 ,104.553,29.036,590.239
pump-494 ,104.553,62.145,335.706
pump-494 ,104.553,49.659,775.656
pump-419 ,104.553,9.202,816.946
pump-494 ,104.553,19.311,397.971
pump-253 ,104.553,41.437,620.537
pump-253 ,104.553,50.478,571.578
pump-494 ,104.553,13.182,624.187
pump-253 ,104.553,51.233,757.649
pump-663 ,104.553,28.6,358.446
pump-494 ,104.553,26.705,676.821
pump-253 ,104.553,29.314,844.028
pump-419 ,104.553,34.546,279.401
pump-253 ,104.553,20.584,681.059
pump-419 ,104.553,13.805,747.528
pump-419 ,104.553,69.329,178.935
pump-663 ,104.553,35.676,317.193
pump-253 ,104.553,52.033,787.286
pump-419 ,104.553,38.786,593.522
pump-663 ,104.553,71.348,815.2
pump-419 ,104.553,35.921,30.528
pump-498 ,104.553,39.052,685.53
pump-494 ,104.553,88.465,771.928
pump-419 ,104.553,36.831,25.102
pump-419 ,104.553,39.331,621.242
pump-663 ,104.553,34.184,1039.509
pump-419 ,104.553,43.785,628.623
pump-663 ,104.553,49.45,873.443
pump-498 ,104.553,57.605,1100.346
pump-663 ,104.553,3.02,1190.29
pump-498 ,104.553,31.01,477.393
pump-419 ,104.553,45.185,204.07
pump-494 ,104.553,30.793,742.54
pump-494 ,104.553,26.432,711.026
pump-494 ,104.553,5.839,361.672
pump-498 ,104.553,46.733,1066.591
pump-494 ,104.553,38.566,1155.497
pump-494 ,104.553,20.766,444.411
pump-494 ,104.553,35.158,5.534
pump-419 ,104.553,43.85,614.137
pump-419 ,104.553,53.413,557.147
pump-253 ,104.553,60.222,501.01
pump-253 ,104.553,52.347,621.044
pump-253 ,104.553,49.36,799.41
pump-419 ,104.553,29.162,883.83
pump-253 ,104.553,29.934,300.074
pump-663 ,104.553,33.533,420.952
pump-253 ,104.553,47.72,377.885
pump-663 ,104.553,37.806,504.723
pump-494 ,104.553,53.846,565
pump-498 ,104.553,82.622,401.939
pump-663 ,104.553,32.142,141.131
pump-663 ,104.553,22.118,460.636
pump-419 ,104.553,36.78,601.967
pump-253 ,104.553,19.521,946.473
pump-253 ,104.553,85.338,315.114
pump-663 ,104.553,41.826,761.052
pump-663 ,104.553,13.765,246.058
pump-253 ,104.553,52.977,418.572
pump-419 ,104.553,57.178,381.43
pump-253 ,104.553,14.218,330.273
pump-663 ,104.553,33.589,831.286
pump-253 ,104.553,25.795,485.252
pump-253 ,104.553,68.568,913.879
pump-253 ,104.553,43.586,585.787
pump-498 ,104.553,38.685,744.049
pump-498 ,104.553,13.232,302.905
pump-419 ,104.553,59.273,594.321
pump-419 ,104.553,0.767,581.43
pump-663 ,104.553,39.2,665.366
pump-494 ,104.553,12.267,801.957
pump-498 ,104.553,15.114,325.419
pump-663 ,104.553,39.027,599.87
pump-494 ,104.553,28.83,175.68
pump-253 ,104.553,30.245,300.678
pump-253 ,104.553,49.478,1079.569
pump-498 ,104.553,38.283,493.75
pump-498 ,104.553,37.643,588.629
pump-419 ,104.553,42.388,839.563
pump-498 ,104.553,62.031,-215.284
pump-663 ,104.553,44.191,613.071
pump-419 ,104.553,7.396,773.217
pump-253 ,104.553,97.638,448.624
pump-494 ,104.553,35.257,516.198
pump-419 ,104.553,22.306,292.567
pump-663 ,104.553,26.417,479.405
pump-663 ,104.553,51.251,487.249
pump-419 ,104.553,21.719,744.959
pump-494 ,104.553,78.493,571.656
pump-663 ,104.553,49.175,260.028
pump-498 ,104.553,15.051,718.273
pump-419 ,104.553,33.078,486.315
pump-253 ,104.553,50.039,430.358
pump-253 ,104.553,44.882,295.662
pump-498 ,104.553,51.585,793.988
pump-419 ,104.553,8.581,477.23
pump-419 ,104.553,34.896,768.481
pump-663 ,104.553,18.947,404.456
pump-419 ,104.553,27.326,1172.911
pump-498 ,104.553,30.445,851.118
pump-494 ,104.553,43.817,507.746
pump-253 ,104.553,54.009,763.918
pump-253 ,104.553,39.334,415.958
pump-253 ,104.553,61.586,1048.636
pump-663 ,104.553,59.376,821.351
pump-419 ,104.553,47.688,1083.72
pump-419 ,104.553,8.845,513.508
pump-494 ,104.553,6.294,812.527
pump-498 ,104.553,35.655,836.619
pump-498 ,104.553,28.682,312.817
pump-253 ,104.553,44.325,119.695
pump-498 ,104.553,23.082,517.889
pump-494 ,104.553,65.923,384.762
pump-494 ,104.553,35.561,476.711
pump-498 ,104.553,15.253,193.507
pump-663 ,104.553,20.706,911.016
pump-494 ,104.553,55.052,449.468
pump-253 ,104.553,23.113,346.937
pump-663 ,104.553,30.879,769.472
pump-419 ,104.553,44.211,1086.764
pump-253 ,104.553,36.46,143.592
pump-253 ,104.553,23.68,514.789
pump-494 ,104.553,1.722,406.545
pump-253 ,104.553,26.528,836.415
pump-498 ,104.553,51.667,561.859
pump-419 ,104.553,68.774,794.876
pump-494 ,104.553,39.176,621.121
pump-494 ,104.553,13.66,451.65
pump-498 ,104.553,25.736,679.271
pump-498 ,104.553,46.224,616.468
pump-253 ,104.553,21.115,534.394
pump-498 ,104.553,48.398,445.197
pump-253 ,104.553,25.3,920.829
pump-498 ,104.553,26.319,869.603
pump-419 ,104.553,19.497,212.22
pump-419 ,104.553,30.335,615.838
pump-494 ,104.553,39.501,649.518
pump-498 ,104.553,52.895,738.073
pump-419 ,104.553,12.994,391.828
pump-419 ,104.553,39.352,549.55
pump-253 ,104.553,25.824,24.242
pump-253 ,104.553,16.515,735.372
pump-253 ,104.553,68.78,868.744
pump-498 ,104.553,0.722,147.223
pump-419 ,104.553,41.84,350.153
pump-494 ,104.553,46.448,601.596
pump-663 ,104.553,29.449,758.57
pump-498 ,104.553,50.26,432.62
pump-498 ,104.553,69.185,633.184
pump-253 ,104.553,47.137,747.456
pump-494 ,104.553,40.86,776.176
pump-253 ,104.553,12.816,575.407
pump-419 ,104.553,70.206,385.968
pump-663 ,104.553,54.056,812.377
pump-663 ,104.553,50.699,235.388
pump-419 ,104.553,75.03,721.137
pump-663 ,104.553,51.806,719.789
pump-494 ,104.553,12.46,1280.542
pump-498 ,104.553,14.088,310.756
pump-498 ,104.553,68.079,854.728
pump-498 ,104.553,26.392,426.383
pump-253 ,104.553,60.753,212.901
pump-663 ,104.553,32.769,360.782
pump-663 ,104.553,22.476,710.413
pump-494 ,104.553,27.608,1021.18
pump-494 ,104.553,50.837,439.103
pump-253 ,104.553,33.483,800.706
pump-498 ,104.553,42.993,444.487
pump-494 ,104.553,26.852,103.8
pump-494 ,104.553,84.547,659.196
pump-498 ,104.553,60.24,979.709
pump-419 ,104.553,31.097,810.545
pump-663 ,104.553,45.861,351.538
pump-419 ,104.553,31.411,604.7
pump-253 ,104.553,43.55,749.359
pump-253 ,104.553,44.312,738.975
pump-663 ,104.553,55.858,494.72
pump-253 ,104.553,59.343,397.522
pump-494 ,104.553,83.996,244.802
pump-494 ,104.553,28.94,249.674
pump-498 ,104.553,43.915,1398.809
pump-253 ,104.553,46.965,908.186
pump-253 ,104.553,16.594,449.468
pump-498 ,104.553,37.803,1011.516
pump-498 ,104.553,58.113,523.579
pump-494 ,104.553,56.781,885.239
pump-253 ,104.553,13.256,787.513
pump-253 ,104.553,35.27,557.932
pump-253 ,104.553,57.615,636.209
pump-494 ,104.553,56.113,493.471
pump-498 ,104.553,77.018,652.385
pump-419 ,104.553,27.831,639.211
pump-253 ,104.553,89.229,834.602
pump-253 ,104.553,71.572,566.864
pump-498 ,104.553,26.857,473.373
pump-663 ,104.553,31.681,536.62
pump-419 ,104.553,36.579,942.417
pump-498 ,104.553,19.48,302.589
pump-498 ,104.553,0.274,906.425
pump-253 ,104.553,39.026,917.203
pump-498 ,104.553,99.532,854.512
pump-419 ,104.553,71.889,884.174
pump-663 ,104.553,30.123,273.78
pump-494 ,104.553,35.697,214.506
pump-494 ,104.553,30.399,261.423
pump-494 ,104.553,4.919,27.648
pump-494 ,104.553,59.364,907.981
pump-253 ,104.553,22.146,634.994
pump-494 ,104.553,44.308,321.962
pump-494 ,104.553,47.919,51.377
pump-419 ,104.553,1.558,1360.26
pump-419 ,104.553,26.371,842.781
pump-494 ,104.553,22.491,825.372
pump-494 ,104.553,46.526,209.014
pump-663 ,104.553,32.983,922.126
pump-663 ,104.553,5.304,17.534
pump-253 ,104.553,38.791,463.452
pump-663 ,104.553,25.058,702.91
pump-253 ,104.553,15.88,901.79
